gene,C1,C1_logFC,C1_FDR,C2,C2_logFC,C2_FDR,C3,C3_logFC,C3_FDR,module
ADCY4,UP,1.08200861894301,0.0004098714223496,NS,-0.373475657944598,0.509590602391374,NS,0.836700044135476,0.0217275678110506,C1 SPECIFIC
ADCY7,UP,1.48218537169598,5.1814816560842e-05,NS,0.348255285746977,0.561470474969241,NS,-0.283662074467288,0.431602891814273,C1 SPECIFIC
ADCY9,UP,1.37162656727602,1.62699027135171e-05,NS,0.0974646925467955,0.876790093458371,NS,0.618976455823246,0.0425051564687122,C1 SPECIFIC
ADD3,UP,1.53591850666727,1.85986691674374e-06,NS,-0.18625033120593,0.682016146454602,NS,0.526976909133927,0.0494581925849768,C1 SPECIFIC
ADGRA2,UP,3.29291538005412,9.06894934608918e-06,NS,0.907381473947938,0.390896252144064,UP,2.70213831479623,0.0011699681646463,SHARED C1 & C3
ADGRD1,UP,2.93366338859727,6.68774350210352e-08,NS,-0.610794408906668,0.271177094134759,UP,2.09323738404369,0.0001135632540832,SHARED C1 & C3
ADGRE5,UP,1.44218132526471,6.02841985727192e-05,NS,-0.279023142836651,0.651288417327146,NS,0.564939885340725,0.111773308582946,C1 SPECIFIC
ADGRF1,DOWN,-1.82659316029792,0.0047309524774673,NS,-1.53169149883547,0.228410319292383,DOWN,-2.07546764199033,0.0184347245567557,DOWN IN LIMBUS
ADGRF4,DOWN,-1.47639895998321,0.0010452415087299,NS,0.226642421554265,0.831299373389177,NS,-0.794517587507017,0.12663163248994,DOWN IN LIMBUS
ADGRF5,UP,2.51695038879396,9.06844540269968e-05,NS,-0.374602436449361,0.757717453671772,UP,1.58567659076369,0.0239607541185985,SHARED C1 & C3
ADGRL4,UP,4.07022766826093,1.06719364350099e-06,NS,0.74178987030445,0.491417774851654,UP,2.93509588503465,0.0006106983244221,SHARED C1 & C3
ADH1B,UP,4.85601743626372,1.01219656293713e-05,NS,-0.78087625469983,0.646551742775051,UP,3.65331175211986,0.0021828121953349,SHARED C1 & C3
ADH1C,UP,1.09220926346129,0.0276558412586843,NS,-1.82804823357008,0.0817558647663027,NS,0.946696301785597,0.151931206331953,C1 SPECIFIC
ADH5,UP,1.08039646541669,0.000109837908717,NS,0.0130365908308541,0.987967126207833,NS,0.552832843898329,0.0591421153516334,C1 SPECIFIC
ADH7,DOWN,-2.9152315018206,0.0042286038592756,NS,-0.526808624360548,0.841225131972527,NS,2.47287550344984,0.0572337997761223,DOWN IN LIMBUS
ADHFE1,NS,0.0775771017287203,0.82240925564194,NS,0.393470296702552,0.594514842017647,UP,1.27306963289346,0.0098009148757878,C3 SPECIFIC
ADIRF,DOWN,-1.53605843418447,2.63207417146775e-07,NS,0.228791101625351,0.516016264156687,NS,-0.788803597315409,0.0020583495903398,DOWN IN LIMBUS
