"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"FGFR1",1.67809473441453,"Up",23,0.0267131242740999,0.00786707896163352,0.279273434965942,0.210072401429465,0.24901185770751,10,50,529,0.247191011235955,0.0433332588461689,0.676991024985317,0.210072394944882,0.0651932337325596,0.248556184748976,65,FALSE
"PIK3R3",1.90186393413092,"Up",22,0.0255516840882695,0.00806183370364734,0.291173486641867,0.16985815191263,0.186147186147186,11,52,484,0.235955056179775,0.0444060023241944,0.726184863787629,0.169858145097925,0.0596369922212619,0.247208211922157,66,FALSE
"ITGA10",1.6430973914322,"Up",19,0.0220673635307782,0.000683311282149175,0.280091086532206,0.302505374656651,0.68421052631579,2,91,361,0.202247191011236,0.00376379909319348,0.680371129580039,0.302505368930858,0.0444499320903815,0.246667484141142,67,FALSE
"LGALS3",-1.33356009538625,"Down",17,0.0197444831591173,0.0096435248370103,0.301048951048951,0.186033609924627,0.161764705882353,14,77,289,0.179775280898876,0.0531182361318077,0.767009224670275,0.186033603242708,0.0355599456723052,0.244299258123195,68,FALSE
"CXCL2",3.04193721810055,"Up",19,0.0220673635307782,0.000372337557801803,0.281925343811395,0.283231658419289,0.631578947368421,1,120,361,0.202247191011236,0.00205090095689414,0.687953798913901,0.283231652535277,0.0444499320903815,0.243986695101538,69,FALSE
"LYN",1.84504894300565,"Up",16,0.0185830429732869,0.0278386286445484,0.291666666666667,0.118828385692985,0.3,11,52,256,0.168539325842697,0.153340077919607,0.728223629609933,0.118828378459372,0.0314853685640202,0.240083356079126,70,FALSE
"CD163",3.15316490833043,"Up",20,0.0232288037166086,0.00856689892959035,0.284440039643211,0.185786355209722,0.289473684210526,1,120,400,0.213483146067416,0.0471879906932856,0.698349345484298,0.185786348525773,0.0492653414001729,0.238814434434189,71,FALSE
"LAMA4",3.88206188158047,"Up",19,0.0220673635307782,0.00680347651051502,0.273854961832061,0.250994719929603,0.543859649122807,2,91,361,0.202247191011236,0.0374747489025789,0.654591500919208,0.250994713780954,0.0444499320903815,0.237951617340872,72,FALSE
"IL7R",1.37986321806892,"Up",17,0.0197444831591173,0.0142457814459043,0.293956981905087,0.152992332777237,0.227941176470588,1,120,289,0.179775280898876,0.0784682774727283,0.737691605187996,0.152992325824079,0.0355599456723052,0.236897487011197,73,FALSE
"LPL",2.74282148556724,"Up",18,0.0209059233449477,0.0363336996564498,0.283223684210526,0.0585833988783963,0.163398692810458,8,28,324,0.191011235955056,0.20013242777024,0.693321031766731,0.0585833911502272,0.039881466847759,0.236585910698003,74,FALSE
"ITGA7",1.11203721398462,"Up",17,0.0197444831591173,0.0028491437292097,0.285193772772441,0.249657766493653,0.433823529411765,2,91,289,0.179775280898876,0.0156935863120086,0.701465216496382,0.24965776033403,0.0355599456723052,0.23643035794272,75,FALSE
"BMP4",2.00417771697217,"Up",19,0.0220673635307782,0.0189398232274756,0.278100775193798,0.156520376697137,0.198830409356725,13,34,361,0.202247191011236,0.104323887737675,0.672143345548974,0.156520369772941,0.0444499320903815,0.235936945232242,76,FALSE
"ABL1",1.13489236060339,"Up",15,0.0174216027874564,0.0359392206110936,0.287575150300601,0.0829137918907803,0.0952380952380952,10,50,225,0.157303370786517,0.197959567593652,0.711309636120606,0.0829137843623415,0.0276577355229041,0.235428818877204,77,FALSE
"IGF2",1.62390298965513,"Up",21,0.024390243902439,0.00818756564829186,0.279273434965942,0.173622358696222,0.171428571428571,10,50,441,0.224719101123595,0.0450985560571725,0.676991024985317,0.173622351912418,0.054327694777133,0.234951745771127,78,FALSE
"PPARG",1.33140718839087,"Up",17,0.0197444831591173,0.0192729548560877,0.291075050709939,0.122361002945235,0.161764705882353,1,120,289,0.179775280898876,0.106158835519806,0.725777937708695,0.122360995740622,0.0355599456723052,0.233926599108061,79,FALSE
"CDH5",1.03761123129689,"Up",17,0.0197444831591173,0.00673776498664314,0.294964028776978,0.1746892213275,0.257352941176471,14,77,289,0.179775280898876,0.0371127982361367,0.741854654461338,0.174689214552453,0.0355599456723052,0.233798378764222,80,FALSE
"PGF",1.46839525443622,"Up",16,0.0185830429732869,0.00138313386823251,0.290192113245703,0.236057081739999,0.441666666666667,10,50,256,0.168539325842697,0.00761854536141293,0.722127946559829,0.236057075468727,0.0314853685640202,0.233165652359337,81,FALSE
