contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,KEGG,hsa04020,Calcium signaling pathway,36/738,251/8021,0.004624414005797359,0.028663611187212168,0.02119694098454731,36,PRKACB/PDGFC/EDNRA/PTGFR/ADCY3/PDGFRA/VEGFC/PDGFRB/SLC8A1/CAMK2D/FLT1/PDGFD/ADCY9/NTRK3/MYLK/F2R/ADCY7/AGTR1/PLN/MCOLN3/PDE1A/ADCY4/TACR1/FGFR1/FGF2/CYSLTR1/AVPR1A/NFATC1/ADCY2/CXCR4/FGF18/NFATC4/PRKCA/PDE1C/ORAI2/FGF5
C1,Up,KEGG,hsa04540,Gap junction,16/738,86/8021,0.004716796777642509,0.028663611187212168,0.02119694098454731,16,PRKACB/GUCY1B1/PDGFC/ADCY3/PDGFRA/PDGFRB/PDGFD/GUCY1A1/ADCY9/ADCY7/LPAR1/ADCY4/PRKG1/TUBA1A/ADCY2/PRKCA
C1,Up,KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,16/738,86/8021,0.004716796777642509,0.028663611187212168,0.02119694098454731,16,LAMA2/CACNA2D1/SGCE/SLC8A1/ITGA8/ITGA1/SGCD/ITGA4/SNTB1/ITGA10/ITGA7/SNTB2/ITGA9/DTNA/ITGA5/SGCB
C1,Up,KEGG,hsa05218,Melanoma,14/738,72/8021,0.0053119650931011285,0.03167133904565956,0.023421176775937448,14,PDGFC/PDGFRA/PDGFRB/E2F3/PDGFD/AKT3/PIK3R3/MITF/PIK3R1/FGFR1/FGF2/IGF1/FGF18/FGF5
C1,Up,KEGG,hsa02010,ABC transporters,10/738,44/8021,0.005650651675878309,0.03306677647365825,0.024453112515496773,10,ABCB4/ABCA8/ABCA6/ABCB1/ABCA9/ABCG2/ABCC4/ABCC1/ABCA1/ABCC9
C1,Up,KEGG,hsa04211,Longevity regulating pathway,16/738,88/8021,0.005943051502461145,0.03414553226868585,0.02525085997217941,16,PRKACB/ADCY3/AKT3/PIK3R3/ADCY9/ADCY7/CREB5/PPARG/IRS1/PIK3R1/ADCY4/FOXO3/PPARGC1A/SOD2/ADCY2/IGF1
C1,Up,KEGG,hsa04923,Regulation of lipolysis in adipocytes,12/738,59/8021,0.0065913499981305945,0.037194046418022646,0.027505257510996087,12,PRKACB/ADCY3/AKT3/MGLL/PIK3R3/ADCY9/ADCY7/IRS1/PIK3R1/ADCY4/PRKG1/ADCY2
C1,Up,KEGG,hsa04640,Hematopoietic cell lineage,17/738,98/8021,0.0075558175854922305,0.04146872471722453,0.030666412016068772,17,IL1R1/CD59/CSF1/ANPEP/ITGA1/IL7/ITGA4/IL7R/ITGAM/IL4R/IL6/IL11RA/HLA-DPB1/CD14/ITGA5/HLA-DMA/HLA-DRB3
C1,Up,KEGG,hsa04725,Cholinergic synapse,19/738,114/8021,0.007611348207591844,0.04146872471722453,0.030666412016068772,19,GNB4/PRKACB/FYN/ADCY3/CAMK2D/AKT3/PIK3R3/GNG11/ADCY9/ADCY7/GNG2/CREB5/BCL2/KCNQ5/PIK3R1/ADCY4/ADCY2/KCNJ2/PRKCA
C1,Up,KEGG,hsa04916,Melanogenesis,17/738,100/8021,0.009245358248366455,0.04951751197430169,0.036618546496652145,17,PRKACB/ADCY3/WNT2B/CAMK2D/ADCY9/FZD7/FZD4/ADCY7/MITF/TYR/ADCY4/TYRP1/FZD1/ADCY2/DCT/PRKCA/WNT5A
