contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,HOXD1,3.9337584183601524,8.362783763846925e-5,33,1.8297519363003422e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TLX2,-3.918090470375746,8.92532095704196e-5,17,1.9382599988800077e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TCF4,3.9107749974848742,9.200044670533045e-5,49,1.9831207400926787e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,GLYR1,3.89235537643198,9.92756806858161e-5,268,2.1242075793803298e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,NR2F1,3.887591402903339,1.0124386785183916e-4,333,2.1505084339332262e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB5,-3.8810381853941514,1.0401150675804466e-4,203,2.1932861207674635e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,NR1D2,-3.8577390587782507,1.1444072852396501e-4,143,2.3958454676599868e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,E2F8,-3.833085244731661,1.2654607685615705e-4,141,2.630350597510122e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SOX2,3.8303659527618015,1.2795282273681316e-4,75,2.6407284692491227e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TFCP2L1,3.799695251064072,1.4487413194917662e-4,176,2.9688994645922815e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,PAX3,3.7949820208453335,1.4765415573581418e-4,306,3.004710441896638e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF177,-3.7461388160390303,1.795772454800907e-4,12,3.6289568357434997e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,YBX3,-3.675174712130841,2.3768670455872788e-4,11,4.7701262776958487e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TEAD1,3.6680357611795142,2.44421003834444e-4,31,4.8716789120426847e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TSC22D1,3.6611214268988923,2.5111370288135036e-4,20,4.944809191555035e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF658,-3.6607392693464202,2.514885774399124e-4,68,4.944809191555035e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF423,3.6369112467413203,2.759269524048493e-4,35,5.388908936228936e-4,Activated in limbus,NES = regulon activity; not transcript abundance
