contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C3,Limbus vs cultured limbal epithelial cells,MTF2,-3.1706319704054207,0.0015210772191266546,18,0.003628143202998824,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,BNC1,-3.1659955255272343,0.00154553171065197,19,0.00365650185203027,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ETS2,3.1531538391765324,0.0016151666321484977,10,0.0037797640334867265,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,RFX2,3.1516315671313846,0.0016236099800200716,14,0.0037797640334867265,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF780A,-3.1430417616305864,0.0016720198326280156,120,0.0038596443156643026,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZFP30,-3.140873175572011,0.001684449581063115,21,0.0038596443156643026,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TCF7L2,3.1318714194977564,0.0017369592774311832,57,0.0039488683572849554,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TET2,3.116265121137086,0.001831575232000466,14,0.004131692965210354,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SOX17,3.1020773200250065,0.0019216775864302803,274,0.004301601366547781,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ATOH8,3.0976780151238223,0.0019504321544824338,15,0.004332639366064032,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB21,3.090540179572513,0.0019979277110053744,31,0.004404522453807303,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB10,3.079512595318108,0.0020733960314089357,123,0.004536528158947371,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,THAP1,-3.069943630321807,0.0021409917566164076,20,0.004624615989452594,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,L3MBTL4,-3.0693236316071157,0.0021454404074780077,226,0.004624615989452594,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,AHRR,3.060973839253901,0.0022061836960041463,95,0.004720584231891225,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF486,3.0476312469559157,0.0023065277719563106,111,0.0048992670192648646,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TFDP1,-3.013387669941646,0.0025834866274415374,46,0.005447787018735416,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB14,-3.007052637818982,0.0026379408068661755,44,0.005487021757639689,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,L3MBTL3,-3.006837969426552,0.0026398042820259668,15,0.005487021757639689,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,KLF9,3.002383222322379,0.002678747258726727,14,0.0055284783850317555,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,STAT4,-2.9936801344852437,0.0027563474623272617,70,0.005648571208008685,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB41,-2.9802424706272834,0.0028802030308074608,12,0.005861112461293504,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PRDM16,2.970268880773058,0.002975391983082905,40,0.006003066634409245,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,LHX1,-2.968638901537883,0.00299121876972282,32,0.006003066634409245,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF675,-2.9454409440420553,0.0032249470492651663,48,0.00641991025467213,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZXDB,2.9437090250884794,0.003243047448236437,10,0.00641991025467213,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZBTB5,2.8787338391697115,0.003992751519647457,203,0.00785061278525277,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ASH1L,2.8616961486292536,0.004213806708686972,11,0.008229649343811467,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,BNC2,2.85361723037331,0.004322457666449763,146,0.008341010180708722,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF44,-2.853198839628444,0.004328153049096278,11,0.008341010180708722,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOS,2.8217465233798933,0.004776291199887476,31,0.00914408381031089,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF280D,2.806255871655388,0.005012087537607677,19,0.009532793944077347,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,FOXF2,2.796004487753156,0.0051738681987252445,155,0.009776595102786013,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF136,2.7866710877920746,0.005325249921876683,75,0.009997727272684612,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,E2F8,-2.7815023003359,0.00541079472124612,141,0.010093213230016801,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,MSX1,2.7726452538365307,0.005560269823794932,92,0.010305977826269588,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF423,2.765518579448089,0.005683236747565484,35,0.010467227174313644,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,JUNB,2.7594897032492933,0.005789171146965292,18,0.010595275495389307,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,TSHZ3,2.7450148788592172,0.006050815428878159,304,0.011004920561272152,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,BHLHE41,2.7292007515926158,0.0063488041525259255,154,0.011475167753944374,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF431,-2.7119254793221175,0.006689362960920968,22,0.01201607791128396,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF2,-2.707629992002511,0.0067765526540159325,22,0.012098017314838259,Repressed in limbus,NES = regulon activity; not transcript abundance
