contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C2,Limbus vs conjunctiva,MSX1,1.2376737303319287,0.21583706352420304,92,0.4000546846212935,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF91,1.232808522308901,0.21764721099891232,240,0.4008565721562246,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NFIX,1.1963100992236722,0.2315755691161683,276,0.4238269849861948,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NR3C1,1.1671502144081176,0.2431497122325089,19,0.4422285391228756,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,BNC1,1.1536788404577616,0.248631861993043,19,0.44939050832282923,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FLI1,1.1450004492032488,0.2522089712967632,275,0.4530420410330746,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MITF,-1.1184292655671737,0.2633837010139893,486,0.46378536114132524,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,DUX1,-1.1159980953060527,0.26442294990802906,39,0.46378536114132524,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,DUX3,-1.1159980953060527,0.26442294990802906,39,0.46378536114132524,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NFIL3,1.1156666636523223,0.26456484518714773,37,0.46378536114132524,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NR2F2,-1.078756485279798,0.2806962978467753,12,0.486995008166889,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FOSB,-1.0755868998444575,0.2821120487849321,143,0.486995008166889,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF43,-1.0739942031817615,0.2828252796570593,23,0.486995008166889,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZKSCAN5,1.0585813107043271,0.2897905021125722,13,0.49379304471638147,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,BAZ2A,-1.0577552333818134,0.29016704689519324,18,0.49379304471638147,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ELK4,-1.0432284175290722,0.29684251500460934,20,0.4948819428692885,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,XPA,-1.0410296039746962,0.2978618089208302,157,0.4948819428692885,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HES2,-1.0400733720730213,0.2983058137369554,56,0.4948819428692885,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF30,1.0396964565899829,0.29848094737171443,29,0.4948819428692885,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,GTF2IRD1,1.0345660911111592,0.3008715966432746,98,0.4948819428692885,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF616,-1.0342684835483338,0.3010106662813198,19,0.4948819428692885,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF136,-1.0183706331736093,0.3085018527686336,75,0.5043485345824291,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MTERF1,-1.0118078275022162,0.311629946646934,18,0.5066162819790938,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SOX18,1.0058369781379213,0.3144939961765964,12,0.5084319604854975,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ATF4,0.98504148003,0.32460369638829306,25,0.5125852052197412,Activated in limbus,NES = regulon activity; not transcript abundance
