Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
SMOC2,2.252796453479977,5.675158549372084,3.7649237856306748,0.0018114313481256536,0.022597700217105998,-1.3791233636855527,Up,C3
PPP1R16B,1.1011565667685783,4.051939862409067,3.7640849253794952,0.0018145753058980934,0.022625161814112227,-1.3808090882113886,Up,C3
F10,1.0317750083542503,5.683559836655501,3.7629940272781077,0.0018186721015344752,0.022631627665430858,-1.3830012903911424,Up,C3
PLVAP,1.4388361344119405,5.794056602695296,3.762942589811988,0.0018188655014838816,0.022631627665430858,-1.3831046558974016,Up,C3
SEPTIN4,1.5415281539339452,5.363534450325152,3.7618015688742266,0.0018231609641055804,0.022661579213082414,-1.3853975780137624,Up,C3
TMEM200B,1.083753139506693,6.181746028320379,3.7587412161327087,0.0018347324470587485,0.022734769331081095,-1.3915474452388024,Up,C3
CCL19,1.5467141898224925,5.510941534003373,3.752041517735187,0.0018603236406252912,0.023016230939323836,-1.4050105610883685,Up,C3
PREX2,1.1528887372639813,3.8232217744082737,3.7481747329857757,0.0018752571697580633,0.02303751206710226,-1.412780816398227,Up,C3
COL6A3,1.6172795586921769,10.608770762735295,3.7456951453254073,0.00188489683012879,0.02314132670933566,-1.4177634766418992,Up,C3
SOCS3,1.8320914273567634,9.682592584650376,3.7302737765922562,0.0019459796926645015,0.023554259444741994,-1.4487514191061335,Up,C3
SLC25A25,1.8317810793705611,8.180030522582708,3.7289225919817093,0.00195142569343271,0.023554259444741994,-1.451466429373479,Up,C3
SLC35G2,1.1864101932014037,6.283162171527736,3.728833380849441,0.0019517858018413782,0.023554259444741994,-1.4516456857372422,Up,C3
RHOU,1.2020822997440472,8.272362309671477,3.728602726208287,0.0019527171692877978,0.023554259444741994,-1.4521091512755175,Up,C3
ADGRF5,1.5856765907636863,4.88490695735013,3.71753106294306,0.0019979539761557073,0.023960754118597632,-1.4743554333060382,Up,C3
SCML1,1.000778295879714,7.030841797056123,3.70999151672221,0.0020293615139457474,0.024185072024690085,-1.4895039536007069,Up,C3
CCL23,1.3230635090788576,4.81100952372337,3.7096234745341365,0.0020309073264510443,0.024191482704455567,-1.4902434114883798,Up,C3
TPSAB1,1.1936206155590154,5.9961178053157695,3.7048239426908953,0.0020511746301482866,0.024384494043001078,-1.499886326907082,Up,C3
TPSB2,1.1936206155590154,5.9961178053157695,3.7048239426908953,0.0020511746301482866,0.024384494043001078,-1.499886326907082,Up,C3
DST,1.0692821511427502,8.147695486222155,3.7042456283594927,0.0020536304151959335,0.024389528562856408,-1.5010482212516543,Up,C3
PDLIM3,1.25578783423419,5.791355181918843,3.702683615269903,0.0020602782273788085,0.02442014716718329,-1.5041864497497919,Up,C3
RNASE2,1.5584129886685032,4.338127365840559,3.6993213649973096,0.002074661267824372,0.02457848951151065,-1.5109414186886045,Up,C3
ST6GAL2,1.9462148465244056,4.9469872607869165,3.696559786145002,0.0020865502821135135,0.02469496048880106,-1.5164894936689786,Up,C3
PCP4L1,1.1126017359511158,8.68452801875221,3.6666211249585325,0.00221992342699606,0.025542954024333382,-1.5766297596346561,Up,C3
AHRR,1.0922880490736722,4.511544301244248,3.6641140527294183,0.0022314737257817566,0.025638981506086032,-1.581665248846,Up,C3
HCLS1,1.5961589108598053,5.980012008152168,3.661725387612517,0.0022425346957034077,0.025708217552615632,-1.586462807784704,Up,C3
SORBS2,1.2104311125340335,8.428352107904267,3.6614257328282496,0.002243926163350127,0.025708217552615632,-1.587064647466403,Up,C3
XM_006714383,1.2104311125340335,8.428352107904267,3.6614257328282496,0.002243926163350127,0.025708217552615632,-1.587064647466403,Up,C3
XM_006714389,1.2104311125340335,8.428352107904267,3.6614257328282496,0.002243926163350127,0.025708217552615632,-1.587064647466403,Up,C3
MITF,1.6312866662967602,7.024015773866029,3.6594658945748963,0.002253048226432332,0.025737639593803072,-1.5910008296578964,Up,C3
CDH19,2.622243853687152,5.058841141648964,3.6584389856637207,0.0022578428407865904,0.02576358041835886,-1.5930632666579898,Up,C3
HLA-DPB1,2.118926839178158,8.505997639828434,3.6581997281601755,0.0022589614004988093,0.02576358041835886,-1.5935437868988753,Up,C3
C1orf21,1.0312503141404674,6.157840742842225,3.655156871292986,0.0022732358161113163,0.025888232137481502,-1.5996549052055649,Up,C3
NOSTRIN,1.0720702100438038,4.231034989902457,3.6534399016087007,0.002281330293778266,0.025888232137481502,-1.6031030982508572,Up,C3
XR_427064,1.0720702100438038,4.231034989902457,3.6534399016087007,0.002281330293778266,0.025888232137481502,-1.6031030982508572,Up,C3
ENPEP,1.4700351300588426,4.052195647002111,3.648649750383447,0.002304066390248347,0.025987876644145126,-1.6127228491076604,Up,C3
SMIM10,1.032689528256125,3.9312991419235175,3.643124334666975,0.0023305752381085564,0.026188420816985757,-1.623818584204506,Up,C3
BTNL9,1.4704142639272453,5.148701013459946,3.6428110792656696,0.002332087262184816,0.026193148557304608,-1.624447620969895,Up,C3
SPARCL1,3.0517545471895584,9.116014770387487,3.63876113999379,0.0023517244877386888,0.0264013522706754,-1.632579960579375,Up,C3
SPATA6,1.1531630322284387,6.467233437005273,3.634210608505321,0.0023739871652525757,0.02660151257721397,-1.6417170532520995,Up,C3
NPR3,1.4413017174298597,6.818763440750105,3.6332717294622787,0.0023786067379559894,0.026628413677434543,-1.6436021852940499,Up,C3
XM_005248310,1.4413017174298597,6.818763440750105,3.6332717294622787,0.0023786067379559894,0.026628413677434543,-1.6436021852940499,Up,C3
PRUNE2,2.4415331212367004,8.032221131012971,3.6317291553473994,0.002386216281873734,0.026688706056632507,-1.646699403740735,Up,C3
CCDC71L,1.3734441056177653,6.615876771363571,3.6303623442318735,0.002392979206166144,0.026751880254494546,-1.6494436735506826,Up,C3
MYCT1,1.8799287563596332,5.041704958616194,3.6251254919414526,0.0024190695305335128,0.026980718806628893,-1.6599577541121562,Up,C3
EVI2A,1.5243736454108143,4.614485692221729,3.624630702412465,0.0024215493203402867,0.026995832227964495,-1.6609511130145425,Up,C3
GAS7,1.2744370128623954,5.849981169264424,3.6227241424674745,0.002431128515997006,0.02700228905180941,-1.664778740251994,Up,C3
EID3,1.9839646930882662,3.7883483608838104,3.6200305326499644,0.0024447269826856736,0.02709064498542084,-1.6701862988292797,Up,C3
NR_024554,1.1392014197971765,4.62542809371029,3.6173929796706297,0.002458116429769377,0.02713878130051729,-1.6754811392045728,Up,C3
NR_024555,1.1392014197971765,4.62542809371029,3.6173929796706297,0.002458116429769377,0.02713878130051729,-1.6754811392045728,Up,C3
RHOBTB1,1.1392014197971765,4.62542809371029,3.6173929796706297,0.002458116429769377,0.02713878130051729,-1.6754811392045728,Up,C3
XM_006718089,1.1392014197971765,4.62542809371029,3.6173929796706297,0.002458116429769377,0.02713878130051729,-1.6754811392045728,Up,C3
XR_428729,1.1392014197971765,4.62542809371029,3.6173929796706297,0.002458116429769377,0.02713878130051729,-1.6754811392045728,Up,C3
PAMR1,1.012498400276618,6.74416719389588,3.6157784686789203,0.002466348729787651,0.02720464256082868,-1.6787221512780848,Up,C3
ANPEP,1.229739220266115,6.643318103955744,3.6143428043592105,0.002473692340015535,0.02726058932279746,-1.6816040838086526,Up,C3
ENPP1,1.751517578122404,6.4529926028211575,3.612362236755366,0.0024838592328382267,0.027337002139233926,-1.6855797570114923,Up,C3
IL6ST,1.1500130768211436,6.310659832248422,3.6073259804229223,0.0025099012436258722,0.0274329005689928,-1.6956887558713296,Up,C3
SHE,1.6645552105001755,5.63426005461308,3.6026464018518647,0.0025343443940730784,0.02764426048906394,-1.7050811806045125,Up,C3
INMT,1.108374416439859,5.8746156133600635,3.6010183184497104,0.002542904349593706,0.027671551619402854,-1.7083487749783872,Up,C3
ZNF703,1.2827104388939334,7.706542121329251,3.599625726721366,0.0025502491740306277,0.027699348765243194,-1.7111436720938054,Up,C3
FAM13C,1.3277175494835358,6.687845306550386,3.596727475010803,0.002565603472450711,0.027792210759287186,-1.7169602091154612,Up,C3
OLFM1,1.1251847791740008,7.709483122342095,3.5915614246357013,0.002593202373377592,0.02798331506388487,-1.7273273969093728,Up,C3
LGR6,1.1796907044597598,7.25016748329242,3.5882191046078176,0.002611216690026742,0.028130351433582522,-1.734034303456042,Up,C3
XM_006711480,1.1796907044597598,7.25016748329242,3.5882191046078176,0.002611216690026742,0.028130351433582522,-1.734034303456042,Up,C3
CPQ,1.087065282779288,7.273421666809711,3.586991682195998,0.0026178636665181686,0.028164035734544637,-1.7364972381742119,Up,C3
XM_005250755,1.087065282779288,7.273421666809711,3.586991682195998,0.0026178636665181686,0.028164035734544637,-1.7364972381742119,Up,C3
XM_006716498,1.087065282779288,7.273421666809711,3.586991682195998,0.0026178636665181686,0.028164035734544637,-1.7364972381742119,Up,C3
XM_006726627,1.3055297022964112,10.142555349537965,3.586036663703788,0.002623047202639684,0.02819452707467877,-1.7384135369239795,Up,C3
WNT2,1.5062251495408727,3.9537360029379296,3.583778700497114,0.002635343675845429,0.028276047790631198,-1.7429441532794119,Up,C3
KLF9,1.2211621097525471,7.242970341936106,3.583263494333593,0.0026381574874819085,0.028281295996941562,-1.7439778946852353,Up,C3
BHLHE22,1.148723010535627,4.5873010424253495,3.5777059768378487,0.002668702174826291,0.028418007808420867,-1.755128294431949,Up,C3
TCIM,1.9969585047509382,4.088335805320648,3.569826493866047,0.00271261725588305,0.028624594115702267,-1.7709356453068077,Up,C3
PDE7B,1.6398365268175885,6.591018044550347,3.5688168981376887,0.00271829618266012,0.028653730775673344,-1.7729608837542354,Up,C3
SV2A,1.3278151519073669,5.583403918628107,3.5669938623939705,0.00272858086962416,0.028736901286844706,-1.7766177849534799,Up,C3
SLC7A2,1.231329236922356,8.029860444838762,3.5569608464240416,0.002785884098311235,0.02922495695049092,-1.796741314047754,Up,C3
MUSTN1,1.222318973066538,6.1546490153555595,3.556750550417622,0.002787098010985489,0.02922495695049092,-1.7971630723651595,Up,C3
SCARA5,1.9711133178368705,6.630085946801028,3.5550485556461795,0.0027969421252281162,0.029251505398573095,-1.8005764413421685,Up,C3
SNORD44,1.444380411660676,10.577919761725175,3.5546833168183256,0.0027990591538798464,0.029260896259331044,-1.80130891783823,Up,C3
COL15A1,2.1975848398037297,4.885075320897051,3.5530687578838935,0.0028084368476264097,0.02932061818909486,-1.8045468123520063,Up,C3
COL8A2,2.2339354689074673,7.760069543605464,3.5519632635396823,0.0028148759341745373,0.02936229994439689,-1.806763754343696,Up,C3
BMPER,1.8448713802820458,3.49700329371688,3.5505481989887624,0.0028231397344740707,0.029405013578644043,-1.8096014368707367,Up,C3
COPZ2,1.1221654501061291,8.455895507535221,3.5451106076004186,0.0028551213104403383,0.02962759260405923,-1.8205049363519628,Up,C3
PGM5,1.506894784331414,5.35398220747027,3.544591928106076,0.0028581908526271855,0.029646627849938507,-1.8215449369976922,Up,C3
EMILIN1,1.087077191535057,5.468335149856175,3.5442762432540227,0.0028600606913419526,0.02965161004803058,-1.8221779093843757,Up,C3
MAN1A1,1.1685234895602363,9.714804086866916,3.5440937901628566,0.002861141941139856,0.02965161004803058,-1.8225437400851305,Up,C3
ZBTB20,1.7279680194983573,5.806068343756078,3.5378119304547697,0.0028986200912076744,0.02989315913840441,-1.8351384928530035,Up,C3
XM_006718899,1.3246349999006926,7.51963686465848,3.535211362913964,0.002914278819825097,0.029946481593398418,-1.8403520150876362,Up,C3
ZBTB16,1.3246349999006926,7.51963686465848,3.535211362913964,0.002914278819825097,0.029946481593398418,-1.8403520150876362,Up,C3
MCAM,1.146887218409213,6.450738249817205,3.532387875654496,0.0029313757139121056,0.03005505334699631,-1.8460121282339692,Up,C3
XM_006718836,1.146887218409213,6.450738249817205,3.532387875654496,0.0029313757139121056,0.03005505334699631,-1.8460121282339692,Up,C3
KCNJ13,1.5999848395149163,4.839291344564739,3.526336396246284,0.00296835784417593,0.030330576830953884,-1.8581421398495532,Up,C3
FAM107A,1.5663783060274215,7.060957788010926,3.524376034532861,0.002980437976496996,0.030428103918281966,-1.86207129820842,Up,C3
SCIN,1.3497458898444732,7.309195069183716,3.52401549191888,0.002982665061491753,0.030437894050138203,-1.862793917033061,Up,C3
MMP27,1.609228058304483,4.925019477908212,3.5237142377756374,0.0029845271965803903,0.030443953154408215,-1.8633977024891122,Up,C3
CCN5,1.2998531238687256,5.65872703098464,3.5211934242592084,0.003000154712050181,0.030590362531278014,-1.8684498645997358,Up,C3
FKBP10,1.5184204725811945,6.105261336420621,3.5185906650891137,0.0030163761702648203,0.030624048116928884,-1.8736659735037406,Up,C3
XM_006722008,1.5184204725811945,6.105261336420621,3.5185906650891137,0.0030163761702648203,0.030624048116928884,-1.8736659735037406,Up,C3
ITM2A,2.3801918295482265,5.292642251954636,3.512648772562031,0.003053738102722949,0.030874398458953758,-1.8855728264117015,Up,C3
CCM2L,1.2340246344594972,4.98550332524799,3.507340152170097,0.0030875095296211148,0.031097945333598824,-1.8962093462887832,Up,C3
XM_006723706,1.2340246344594972,4.98550332524799,3.507340152170097,0.0030875095296211148,0.031097945333598824,-1.8962093462887832,Up,C3
PPP1R15A,1.7710437799228957,8.51556154980025,3.504657870675128,0.003104715001176049,0.03120217542360773,-1.9015831639567597,Up,C3
DACT1,2.004465323786583,4.333093720936577,3.502300659417118,0.003119914464969592,0.03128076918391012,-1.9063054462201583,Up,C3
XM_006720166,2.004465323786583,4.333093720936577,3.502300659417118,0.003119914464969592,0.03128076918391012,-1.9063054462201583,Up,C3
XM_006720167,2.004465323786583,4.333093720936577,3.502300659417118,0.003119914464969592,0.03128076918391012,-1.9063054462201583,Up,C3
CSF2RB,1.1968657877101734,4.8980324434361355,3.4973989311437905,0.0031517598460279305,0.03140246568051573,-1.9161244172878833,Up,C3
TRIM63,1.059197130176492,4.917505681514484,3.4934814072803357,0.003177444621728175,0.03151262210005125,-1.9239710471551943,Up,C3
DUSP1,1.8002146369920684,7.144707381099021,3.4895441232516293,0.003203469823290184,0.03168095702456159,-1.931856512124611,Up,C3
